"Variabile","Tipo","Minimo","Massimo","Valori_unici"
"Age","integer",15,77,51
"Duration","integer",1,3,3
"Frequency","integer",1,8,8
"Location","integer",0,2,3
"Character","integer",0,2,3
"Intensity","integer",0,3,4
"Nausea","integer",0,1,2
"Vomit","integer",0,1,2
"Phonophobia","integer",0,1,2
"Photophobia","integer",0,1,2
"Visual","integer",0,4,5
"Sensory","integer",0,2,3
"Dysphasia","integer",0,1,2
"Dysarthria","integer",0,1,2
"Vertigo","integer",0,1,2
"Tinnitus","integer",0,1,2
"Hypoacusis","integer",0,1,2
"Diplopia","integer",0,1,2
"Visual_defect","integer",0,1,2
"Ataxia","integer",0,0,1
"Conscience","integer",0,1,2
"Paresthesia","integer",0,1,2
"DPF","integer",0,1,2
"target","integer",0,1,2
